,ic_mean,icir,t-stat
open1,0.014927662870198685,0.08894514326179377,5.6604342558621
open2,0.015258009907595203,0.08886701977447724,5.655462507573469
open3,0.025765143691169414,0.14690292939028504,9.348845179323522
open4,0.026830939603493323,0.15188324589337016,9.66579058078433
open5,0.022858264278067236,0.12808875010755086,8.15151814152825
open6,0.01985352574260679,0.11072180316863908,7.046292406117217
open7,0.01721478663237395,0.09511814617145896,6.053281755455869
open8,0.016055916386959912,0.08813133223380555,5.608643639177562
open9,0.01420967028248048,0.07756577369192273,4.936255610898571
open10,0.0130108063596424,0.07102894987048645,4.520254690258229
open11,0.012182079679012085,0.06632716618210081,4.2210350085825485
open12,0.012001545229351795,0.06517935060885711,4.147988472797255
open13,0.011310578965144796,0.06121012001892716,3.8953881848363254
open14,0.011007521562523647,0.05940356418147187,3.7804196753432158
open15,0.011020780073422014,0.05943135255626877,3.782188116686349
open16,0.010912436326215923,0.05878495951420001,3.741051915384073
open17,0.0108462861408791,0.05853943692094855,3.725426953228038
open18,0.010775965830130003,0.058082637547486375,3.69635641911252
open19,0.011181420645465066,0.0602623634354029,3.8350733251951477
open20,0.011350943242389503,0.0612893253202866,3.900428779349072
open21,0.011157757500456767,0.06043869345551555,3.846294898960505
open22,0.011191773261617658,0.060653851915254166,3.8599874994924797
open23,0.011876875446764898,0.06450228561370788,4.10490032035359
open24,0.011955094307087211,0.06483997946360522,4.126391025364056
open25,0.011994778418183631,0.06520665950260443,4.149726400153244
open26,0.01159494202216687,0.06303420594072517,4.011472302065652
open27,0.012077944416227325,0.06565893691610683,4.178509158499099
open28,0.011682461344822901,0.06352717467211134,4.0428446400245
open29,0.011656655430725483,0.06333085043237163,4.030350641913688
open30,0.011372728501098028,0.06171168922613199,3.9273078537247263
open31,0.011462178514239902,0.06209075692662445,3.951431574463957
open32,0.011398552034241775,0.06182619300346139,3.934594829492625
open33,0.01050843528392193,0.056956493945527806,3.6246890791343924
open34,0.010575173303324609,0.057461171884918456,3.656806586527647
open35,0.009963900862427493,0.05409230109799278,3.4424129624737705
open36,0.00993108917862654,0.054090135855682404,3.4422751672969185
open37,0.00922466946339403,0.05035132159287636,3.204338484602476
open38,0.009326680219182702,0.05091400370159188,3.240147354727734
open39,0.009403112208710747,0.05128052954190071,3.2634729163723564
open40,0.00930304222561327,0.05074325465916942,3.2292809522077115
open41,0.009108402547450916,0.04981046377981699,3.1699185041479954
open42,0.008692712395120305,0.04757039015765855,3.0273610917753144
open43,0.008756632530375138,0.04794753624339457,3.0513625217002853
open44,0.008817078101687496,0.04840402611950813,3.080413359525147
open45,0.008895944273766821,0.04900270375690771,3.118512971068646
open46,0.008945437790520941,0.04935735243432536,3.141082674695323
open47,0.009052675783658695,0.05008805212732183,3.187584118408909
open48,0.009081958197638603,0.05032719951482793,3.202803364955684
open49,0.00872063061875557,0.04831066087111447,3.074471631501178
open50,0.008429623127033428,0.04689196621855066,2.984186456667691
open51,0.008116424828437453,0.045258226931807186,2.8802159251164445
open52,0.007940724273813574,0.04433327458482233,2.821352318201978
open53,0.007633757045977307,0.04263387817673314,2.713203393034425
open54,0.007331723434783558,0.04106543260259232,2.613388127908695
open55,0.00739555113495611,0.041423149012553985,2.636153060838999
open56,0.007354080603862252,0.04130433374280785,2.6285917033738584
open57,0.006920957158882045,0.03893328290490956,2.477698952032425
open58,0.006735024307261049,0.037928054103727585,2.4137265828560435
open59,0.006636792255613592,0.03738995022690243,2.3794818618303184
open60,0.006712009252006503,0.03790796573893104,2.412448167148691
close1,0.013665533179710145,0.08288550440804221,5.274801200609471
close2,0.014531587939054767,0.08645963315781836,5.502257361431518
close3,0.015372988006682879,0.09011994714180259,5.735198316972765
close4,0.02722741695474839,0.15656462096949528,9.96371146632885
close5,0.02638610673841223,0.1502471418230075,9.561669555325098
close6,0.02232721411748983,0.126603626095032,8.057005428114294
close7,0.01973423684660737,0.11060609322266425,7.03892867024676
close8,0.016653830715794796,0.09229059515121078,5.873337510404711
close9,0.01612059951401812,0.08894023503802659,5.660121898414258
close10,0.013836893327821084,0.07603841002529799,4.839054782357823
close11,0.012756542094849544,0.06991595483033304,4.449424119629477
close12,0.012227911009935883,0.06690948776605879,4.258093727258866
close13,0.011883393702381076,0.06470469902036309,4.117781830673997
close14,0.011021622457363057,0.059824462062265577,3.8072054524558805
close15,0.011044144888329816,0.05987272119204046,3.8102766446684986
close16,0.010690897005867514,0.057901699789076305,3.6848416106775193
close17,0.010444976153042098,0.05653868775723765,3.598100056127842
close18,0.010736575193743457,0.058132795587023424,3.69954845720241
close19,0.0108366515645645,0.05872552490692676,3.7372695201384665
close20,0.0113523872408675,0.06144134582126449,3.910103304789948
close21,0.011316396541032673,0.06142206509508689,3.9088762868895737
close22,0.011017075384104753,0.05993907509715529,3.8144993813323405
close23,0.011268120499856402,0.06124170836960015,3.8973984551633887
close24,0.011581879186638553,0.06310816961679341,4.016179321587492
close25,0.011931997099463328,0.06499569199981896,4.13630051048858
close26,0.011881996302887542,0.06483739990544722,4.126226863288117
close27,0.01165305183228107,0.06350773302766437,4.041607381348172
close28,0.011947180677790645,0.06516738191583031,4.1472267898371475
close29,0.01167868242456562,0.06364566371478421,4.050385236525826
close30,0.01155607892949109,0.06291879593733117,4.004127654424153
close31,0.011304866087019987,0.06147033606880293,3.9119482328459916
close32,0.011329443446184815,0.06155949518638984,3.91762228434452
close33,0.0112021346389956,0.06091244224277663,3.8764440871651145
close34,0.010660234650956956,0.05791776135036645,3.6858637621789425
close35,0.010516762061356232,0.0572722212467365,3.644781841546528
close36,0.010205293034661821,0.05558619159546599,3.537483571573981
close37,0.009695597132611193,0.05293057969126428,3.3684814648645136
close38,0.009194717746971887,0.05028943468920437,3.2004000261696968
close39,0.009424245939434967,0.05156460137745658,3.2815511372862667
close40,0.009496663977987319,0.05191828277443568,3.304059283562777
close41,0.009230649115628858,0.05046504932575863,3.2115760732041787
close42,0.008695948298136908,0.04764502624008273,3.0321109029756146
close43,0.008771485798483457,0.048071041918986285,3.059222374765619
close44,0.008664358357880644,0.0475798803165487,3.0279650417888333
close45,0.008872610022156939,0.04885891231011106,3.1093621394290576
close46,0.008934116765645067,0.04932217086224617,3.138843733158223
close47,0.008824778814111502,0.04881103081232868,3.1063149795692815
close48,0.00891942191418975,0.049439790119075205,3.146328976827397
close49,0.008720462211185305,0.048422412701237295,3.081583474421265
close50,0.00861760562795566,0.04792001990036074,3.0496113923525447
close51,0.00815683247890397,0.045487442319715125,2.8948031030792256
close52,0.008112035348575169,0.045318354564577744,2.8840424242346328
close53,0.00799000607107058,0.04469728191019359,2.8445176025374224
close54,0.0074981471498741315,0.04199335181613474,2.672440545054717
close55,0.007253843796873889,0.0407025067719955,2.5902916694792455
close56,0.007286329902228533,0.04092013227015666,2.6041412713750423
close57,0.007056065885564856,0.039740500285794005,2.5290699515847783
close58,0.006838533805202004,0.038535969228078046,2.45241406446931
close59,0.006628020267777652,0.03742823062963473,2.381918011742589
close60,0.006408384399122358,0.03620961827591745,2.3043659964369816
high1,0.016909891401885493,0.10110311689685252,6.434162960117456
high2,0.014476595423143744,0.08529522382534217,5.4281548052751445
high3,0.019346735187485115,0.11232123451409808,7.148079593654692
high4,0.028056819571200254,0.15977321106730735,10.167904889787833
high5,0.025633970078153278,0.1449230183556581,9.222844412637752
high6,0.021865445819282694,0.12362203789755508,7.867258317131541
high7,0.018793271653732124,0.10491406057398019,6.676689930630984
high8,0.016316903900904855,0.09024666127902634,5.743262355286046
high9,0.015217720569882196,0.08379142767200613,5.33245380409599
high10,0.013474432971281486,0.07403855650934113,4.711784883931666
high11,0.012539135118013297,0.06858532654827947,4.364743454296394
high12,0.01228952782595491,0.06732405214727746,4.284476442926698
