时间,开盘,最高,最低,收盘,成交量,MACD_DIF,MACD_DEA,MACD_MACD
 2021/07/27-22:50,5306,5308,5300,5306,39627,0,0,0
 2021/07/27-22:55,5304,5334,5304,5334,58044,2.23,0.45,3.57
 2021/07/27-23:00,5334,5338,5322,5326,48789,3.32,1.02,4.6
 2021/07/27-09:05,5328,5380,5328,5378,174406,8.28,2.47,11.62
 2021/07/27-09:10,5380,5380,5354,5360,81428,10.64,4.11,13.06
 2021/07/27-09:15,5360,5362,5346,5356,61720,12.04,5.69,12.7
 2021/07/27-09:20,5356,5358,5346,5348,40673,12.37,7.03,10.68
 2021/07/27-09:25,5348,5352,5338,5346,40488,12.33,8.09,8.47
 2021/07/27-09:30,5346,5346,5328,5330,49653,10.87,8.65,4.46
 2021/07/27-09:35,5330,5336,5324,5336,33669,10.09,8.93,2.31
 2021/07/27-09:40,5336,5340,5326,5340,31362,9.68,9.08,1.19
 2021/07/27-09:45,5340,5354,5338,5346,28269,9.73,9.21,1.03
 2021/07/27-09:50,5346,5352,5338,5338,26665,9.02,9.17,-0.31
 2021/07/27-09:55,5338,5352,5336,5350,20799,9.31,9.2,0.23
 2021/07/27-10:00,5350,5352,5340,5342,13185,8.8,9.12,-0.64
 2021/07/27-10:05,5342,5346,5334,5344,23775,8.46,8.99,-1.06
 2021/07/27-10:10,5346,5350,5344,5348,16393,8.42,8.88,-0.92
 2021/07/27-10:15,5346,5350,5340,5350,16365,8.44,8.79,-0.69
 2021/07/27-10:35,5348,5368,5340,5366,52643,9.65,8.96,1.37
 2021/07/27-10:40,5366,5386,5366,5376,80136,11.28,9.42,3.71
 2021/07/27-10:45,5376,5378,5366,5374,31939,12.27,9.99,4.55
 2021/07/27-10:50,5374,5386,5366,5370,43063,12.58,10.51,4.14
 2021/07/27-10:55,5370,5376,5368,5374,18723,13,11.01,3.99
 2021/07/27-11:00,5374,5376,5360,5364,27846,12.39,11.29,2.21
 2021/07/27-11:05,5364,5366,5356,5358,24578,11.29,11.29,0.01
 2021/07/27-11:10,5358,5368,5354,5356,24980,10.14,11.06,-1.84
 2021/07/27-11:15,5356,5358,5338,5350,37593,8.64,10.57,-3.86
 2021/07/27-11:20,5350,5350,5340,5342,18584,6.73,9.81,-6.14
 2021/07/27-11:25,5342,5352,5334,5340,32607,5,8.84,-7.69
 2021/07/27-11:30,5340,5342,5332,5340,34033,3.59,7.79,-8.41
 2021/07/27-13:35,5340,5340,5306,5320,80422,0.84,6.4,-11.12
 2021/07/27-13:40,5320,5326,5306,5320,46039,-1.31,4.86,-12.35
 2021/07/27-13:45,5322,5336,5320,5336,35203,-1.72,3.54,-10.52
 2021/07/27-13:50,5336,5344,5330,5338,24803,-1.85,2.47,-8.63
 2021/07/27-13:55,5338,5344,5334,5338,22850,-1.93,1.59,-7.04
 2021/07/27-14:00,5338,5338,5326,5330,22052,-2.62,0.75,-6.72
 2021/07/27-14:05,5332,5332,5320,5322,21052,-3.76,-0.16,-7.21
 2021/07/27-14:10,5322,5326,5316,5318,23395,-4.93,-1.11,-7.64
 2021/07/27-14:15,5318,5318,5302,5308,40422,-6.59,-2.21,-8.77
 2021/07/27-14:20,5308,5320,5308,5310,22071,-7.66,-3.3,-8.72
 2021/07/27-14:25,5310,5320,5302,5314,63511,-8.08,-4.25,-7.66
 2021/07/27-14:30,5314,5314,5304,5306,27823,-8.97,-5.2,-7.54
 2021/07/27-14:35,5306,5306,5286,5286,59145,-11.15,-6.39,-9.53
 2021/07/27-14:40,5286,5288,5272,5278,73555,-13.37,-7.78,-11.18
 2021/07/27-14:45,5278,5278,5246,5248,98034,-17.35,-9.7,-15.31
 2021/07/27-14:50,5246,5270,5246,5262,52453,-19.16,-11.59,-15.14
 2021/07/27-14:55,5262,5280,5260,5278,44132,-19.08,-13.09,-11.98
 2021/07/27-15:00,5278,5284,5260,5262,53098,-20.08,-14.49,-11.18
 2021/07/28-21:05,5284,5286,5274,5274,87257,-19.67,-15.52,-8.29
 2021/07/28-21:10,5274,5280,5268,5280,33638,-18.65,-16.15,-5
 2021/07/28-21:15,5280,5294,5274,5276,59160,-17.96,-16.51,-2.89
 2021/07/28-21:20,5276,5294,5274,5290,36613,-16.09,-16.43,0.67
 2021/07/28-21:25,5290,5300,5288,5300,40430,-13.65,-15.87,4.44
 2021/07/28-21:30,5300,5302,5294,5298,27053,-11.74,-15.04,6.61
 2021/07/28-21:35,5298,5298,5284,5290,44542,-10.75,-14.19,6.87
 2021/07/28-21:40,5290,5298,5274,5278,38756,-10.81,-13.51,5.41
 2021/07/28-21:45,5278,5278,5256,5258,75675,-12.32,-13.27,1.9
 2021/07/28-21:50,5256,5268,5254,5266,46774,-12.73,-13.16,0.86
 2021/07/28-21:55,5268,5274,5262,5264,27488,-13.07,-13.15,0.15
 2021/07/28-22:00,5264,5264,5250,5252,37550,-14.14,-13.35,-1.59
 2021/07/28-22:05,5252,5286,5252,5282,49362,-12.43,-13.16,1.47
 2021/07/28-22:10,5282,5290,5278,5286,45137,-10.62,-12.65,4.06
 2021/07/28-22:15,5286,5296,5282,5288,39299,-8.93,-11.91,5.96
 2021/07/28-22:20,5288,5288,5276,5284,25454,-7.82,-11.09,6.54
 2021/07/28-22:25,5284,5288,5278,5284,19254,-6.86,-10.25,6.77
 2021/07/28-22:30,5284,5284,5278,5282,14794,-6.19,-9.43,6.49
 2021/07/28-22:35,5282,5290,5280,5284,21628,-5.44,-8.63,6.4
 2021/07/28-22:40,5286,5302,5284,5300,28444,-3.51,-7.61,8.21
 2021/07/28-22:45,5300,5304,5288,5288,35241,-2.91,-6.67,7.52
 2021/07/28-22:50,5288,5294,5280,5280,19244,-3.05,-5.95,5.79
 2021/07/28-22:55,5280,5288,5268,5284,43903,-2.81,-5.32,5.02
 2021/07/28-23:00,5286,5294,5284,5292,24308,-1.94,-4.64,5.4
 2021/07/28-09:05,5292,5318,5292,5314,86897,0.51,-3.61,8.24
 2021/07/28-09:10,5314,5322,5304,5318,40500,2.74,-2.34,10.17
 2021/07/28-09:15,5318,5320,5310,5312,29552,3.98,-1.08,10.12
 2021/07/28-09:20,5314,5314,5296,5300,38918,3.95,-0.07,8.05
 2021/07/28-09:25,5300,5304,5294,5300,32251,3.88,0.72,6.33
 2021/07/28-09:30,5300,5312,5300,5310,25625,4.58,1.49,6.18
 2021/07/28-09:35,5310,5322,5308,5320,28785,5.88,2.37,7.01
 2021/07/28-09:40,5320,5320,5310,5312,34141,6.19,3.13,6.1
 2021/07/28-09:45,5312,5316,5310,5310,16978,6.2,3.75,4.9
 2021/07/28-09:50,5310,5314,5308,5312,22447,6.29,4.26,4.08
 2021/07/28-09:55,5312,5322,5310,5322,21372,7.1,4.82,4.55
 2021/07/28-10:00,5322,5324,5316,5320,19594,7.49,5.36,4.26
 2021/07/28-10:05,5318,5320,5300,5304,36586,6.43,5.57,1.72
 2021/07/28-10:10,5306,5308,5298,5302,18774,5.37,5.53,-0.33
 2021/07/28-10:15,5302,5314,5300,5314,15673,5.43,5.51,-0.16
 2021/07/28-10:35,5314,5322,5308,5320,16433,5.9,5.59,0.62
 2021/07/28-10:40,5320,5322,5316,5320,14828,6.2,5.71,0.98
 2021/07/28-10:45,5320,5332,5318,5330,34308,7.16,6,2.32
 2021/07/28-10:50,5330,5332,5322,5328,20917,7.67,6.33,2.67
 2021/07/28-10:55,5328,5334,5320,5326,25994,7.83,6.63,2.39
 2021/07/28-11:00,5326,5332,5320,5324,19774,7.7,6.85,1.7
 2021/07/28-11:05,5326,5328,5316,5328,22154,7.83,7.04,1.57
 2021/07/28-11:10,5326,5326,5318,5322,25046,7.36,7.11,0.51
 2021/07/28-11:15,5324,5326,5318,5322,24431,6.92,7.07,-0.31
 2021/07/28-11:20,5322,5326,5302,5304,41134,5.05,6.67,-3.23
 2021/07/28-11:25,5304,5308,5298,5304,40493,3.53,6.04,-5.02
 2021/07/28-11:30,5306,5308,5302,5306,16002,2.46,5.32,-5.73
 2021/07/28-13:35,5304,5304,5268,5270,91440,-1.28,4,-10.56
 2021/07/28-13:40,5270,5290,5270,5290,44218,-2.6,2.68,-10.56
 2021/07/28-13:45,5288,5300,5284,5294,32694,-3.28,1.49,-9.55
