,ic_mean,icir,t-stat
DIF,-0.004951119386693393,-0.03138913037045105,-2.0020261966369937
DEA,-0.0022719842283324266,-0.014778186194405667,-0.9425656445656465
RET1_1,-0.013168075689100557,-0.08062075834929007,-5.142062500717188
RET2_1,-0.015823035803711336,-0.09687301951262013,-6.178645936434245
RET1_2,-0.013251291853698687,-0.07929144148735748,-5.057277508275166
RET2_2,-0.017138105216220324,-0.10250435161536364,-6.537817224666829
RET1_3,-0.014844319615237899,-0.08784619941314142,-5.60290745313755
RET2_3,-0.017616122324644087,-0.10307849230799206,-6.574436420344815
RET1_4,-0.027036642186771563,-0.15715900117631598,-10.023738589727852
RET2_4,-0.02935188751911915,-0.16814027065647164,-10.724133564425776
CLOSE5,0.024503291511479546,0.14296547507082208,9.118463077138315
CLOSE10,0.012716137500876667,0.07226240841573273,4.608959629431734
CLOSE20,0.010693230006403459,0.05997356644437683,3.8251665372807344
CLOSE30,0.010711389665839647,0.06074339600784878,3.874266940344698
CLOSE60,0.0053104212482782106,0.031824690525094644,2.0298066043614655
ROC5,-0.026063623070262068,-0.1497672760882102,-9.552287896762572
ROC10,-0.014043031000903015,-0.07808567543826629,-4.98037269476786
ROC20,-0.012459412753414015,-0.06815534710400883,-4.347007665798937
ROC30,-0.012020299821387517,-0.06653428288659405,-4.243614771781383
ROC60,-0.006235004395342892,-0.036304741432593955,-2.3155481707326167
BETA5,-0.024503291511479557,-0.14296547507082216,-9.11846307713832
BETA10,-0.012716137500876667,-0.07226240841573273,-4.608959629431734
BETA20,-0.010693230006403459,-0.05997356644437685,-3.8251665372807353
BETA30,-0.01071138966583964,-0.060743396007848734,-3.8742669403446954
BETA60,-0.005310421248278217,-0.03182469052509468,-2.0298066043614678
MA5,0.019502862017538616,0.11401649184041067,7.272071599920215
MA10,0.020249761876565592,0.11441871366732109,7.297725659934949
MA20,0.01471562917747342,0.08022329234768567,5.116711771401231
MA30,0.013563597451286198,0.07364597495755966,4.697204713919183
MA60,0.010874154652127283,0.060182088870642095,3.8384662800592837
STD5,-0.0006154355933640992,-0.0038906472494878745,-0.24814888540782667
STD10,0.00011169328077435159,0.0006876367809791079,0.043858075488044386
STD20,0.002456773448164418,0.01493947075365056,0.9528525148583417
STD30,0.004451276055194985,0.02727607152850898,1.7396917052797831
STD60,0.008329734934478904,0.05241940715517448,3.3433556488596645
MAX5,0.015071890397685944,0.09813780089189415,6.259314799331732
MAX10,0.012725285431964137,0.07921840360199914,5.052619088047888
MAX20,0.00909891858987332,0.05525825340399361,3.5244197462489573
MAX30,0.01011075063604086,0.06101965670052094,3.891887089017291
MAX60,0.008983040638187128,0.055608318391727536,3.5467471974302263
MIN5,0.018614781251375105,0.1099116425615114,7.010260721676228
MIN10,0.015977358148126102,0.08924885496239185,5.692370051218991
MIN20,0.01003941744717585,0.05356107215316557,3.4161720412473087
MIN30,0.008784256445629645,0.04649576971462431,2.965540870450729
MIN60,0.004944930831200319,0.02647942741675891,1.6888810468672248
QTLU5,0.018408564984588174,0.11387199843031419,7.262855683810386
QTLD5,0.017993912376766313,0.10618130077755758,6.772336259107633
QTLU10,0.017797837531985675,0.10591508133634697,6.755356550238112
QTLD10,0.019494014130038224,0.11029332739299343,7.034604914155206
QTLU20,0.015124304500715426,0.08774012547790166,5.596141964746375
QTLD20,0.013066560969249953,0.07045303891028888,4.493556459399833
QTLU30,0.013636392936255966,0.07837547989182446,4.998856676358879
QTLD30,0.012180759885200034,0.06549588444598436,4.1773848107689995
QTLU60,0.0117652666677756,0.06876411952421083,4.385835703360049
QTLD60,0.008070537086425356,0.044478534063948555,2.836879815818749
CORR5,0.027894747717197497,0.20642807546850236,13.166163252434236
CORR10,0.022292860666205238,0.15768876976533758,10.05752769381769
CORR20,0.019181025022583807,0.13331596553528616,8.503008916833595
CORR30,0.015126338762749622,0.10357861697370295,6.606334809071127
CORR60,0.008650153286326711,0.05901475544177125,3.7640127326934243
CORR2_5,0.022090331183781464,0.14040659273371686,8.955255322971958
CORR2_10,0.019449280483822624,0.1085240879010963,6.921761271496115
CORR2_20,0.01638578721887649,0.08364909687827785,5.335212581517962
CORR2_30,0.013439914213612425,0.06626377768353657,4.226361713271756
CORR2_60,0.007990612354562492,0.03822052139620202,2.437738292882232
RSI5,-0.02751806594753686,-0.16742888298575384,-10.678760636411106
RSI10,-0.011674361551420208,-0.06738039090906603,-4.297580281694593
RSI20,-0.008303989889998108,-0.046389188564025324,-2.9587430314201915
RSI30,-0.009220565438767725,-0.05205553180449017,-3.3201473606470597
RSI60,-0.003810621767313836,-0.02246557060843016,-1.432873748003391
PSY5,-0.020952000795958513,-0.15672946811406446,-9.996342595229107
PSY10,-0.010859850247661137,-0.07968101097764924,-5.08212459119113
PSY20,-0.0064223262897871655,-0.045482934602027514,-2.90094136086376
PSY30,-0.0059734451885953615,-0.042020132599832755,-2.6800808196400014
PSY60,-0.0010488826168609314,-0.00735564950834903,-0.4691497609267208
PERF1,0.01504650417599759,0.09259447640775526,5.9057567140095415
PERF2,-0.019425170626604246,-0.11988350327312858,-7.646274722008851
PERF3,-0.019479989828889096,-0.12028672983568649,-7.671992864942201
PERF4,0.019835391151958422,0.12284176212176075,7.834955059485486
IDX1_5,0.0011106773792889863,0.006806019304413753,0.4340938656612303
IDX2_5,-0.018265231625079495,-0.11263111800517596,-7.183711244678061
IDX3_5,0.017112219251605307,0.10543939814298015,6.725017060001172
IDX4_5,-0.0025621768932963156,-0.015702103821962108,-1.0014939191649315
IDX1_10,-0.0060256305037992616,-0.03694826077020724,-2.3565923970854787
IDX2_10,-0.01958598949766518,-0.12089045380232276,-7.710498907718118
IDX3_10,0.019747879097155568,0.1219044748746038,7.775174058851316
IDX4_10,-0.008186335496388862,-0.050226390368865274,-3.203483119610215
IDX1_20,-0.011726504780240213,-0.07204239666255266,-4.5949270873308175
IDX2_20,-0.019425170626604253,-0.1198835032731286,-7.646274722008853
IDX3_20,0.019425170626604246,0.11988350327312858,7.646274722008851
IDX4_20,-0.009527917820977089,-0.0584836977837502,-3.7301414106550252
IDX1_30,-0.012576444692967348,-0.07729419062732297,-4.929891101074507
IDX2_30,-0.019425170626604246,-0.11988350327312856,-7.64627472200885
IDX3_30,0.01942517062660424,0.11988350327312852,7.646274722008847
IDX4_30,-0.012092175661256603,-0.07430113161767328,-4.738991178882334
IDX1_60,-0.01584613752305262,-0.09756098530294377,-6.222524996426126
IDX2_60,-0.01942517062660425,-0.11988350327312858,-7.646274722008851
IDX3_60,0.01942517062660424,0.11988350327312852,7.646274722008847
IDX4_60,-0.017988151703535557,-0.11090134317703061,-7.073384692799762
DELTA,-0.024198112437571084,-0.15730337127162142,-10.032946640712423
KMID,-0.019425170626604246,-0.11988350327312856,-7.64627472200885
KUP,-0.009837620942925448,-0.06368968728070451,-4.062183975368162
KDJ_K,-0.018539251508629416,-0.11181608957890134,-7.131728018601123
KDJ_D,-0.014831671561555938,-0.088110296495093,-5.619751796076728
KLEN,-0.002058426607950259,-0.012208141719362416,-0.7786459594761095
KIMD2,-0.01741663568751568,-0.11779198860876802,-7.512876086899098
KUP2,-0.008050346832073927,-0.05906752851771992,-3.7673786456473493
KLOW,-0.019939634334747266,-0.130578392994841,-8.328404145166372
KLOW2,-0.022554080573062626,-0.16519243948404258,-10.536118313260303
KSFT,-0.024013830258085032,-0.15268002483756982,-9.738065560291892
KSFT2,-0.023012703029806274,-0.16835792998569676,-10.738016066868767
VWAP,-0.015022351517575682,-0.09504314953584952,-6.061935228405744
RSV5,-0.02477672874915727,-0.15608113393064788,-9.954991273798516
RSV10,-0.0165319429317818,-0.09898174328673134,-6.31314218361974
RSV20,-0.00760036255268072,-0.0431107841519569,-2.7496435298197914
RSV30,-0.006788116857461882,-0.038001520141121556,-2.4237702012341686
RSV60,-0.004878791636931601,-0.02745721629873325,-1.751245277203973
OPEN5,0.015537358144245873,0.09267900069308749,5.911147746876334
OPEN10,0.007474757653052233,0.04317312330085112,2.753619575275316
OPEN20,0.007433644297695801,0.04235451223287707,2.70140784517642
OPEN30,0.007931624722030343,0.04544464048026915,2.898498928275388
OPEN60,0.003535452139150911,0.021326589494322996,1.3602285360779303
HIGH5,0.0197703194059721,0.11648613497836331,7.429587599891352
HIGH10,0.009355233478999,0.05344972546142739,3.409070251833654
HIGH20,0.008662679332219352,0.04873352044607686,3.108266569858094
HIGH30,0.00888221643895231,0.0504332456838965,3.2166765325757414
HIGH60,0.004305688772254915,0.02575202139119754,1.64248645416655
MEAN1,0.023930813324535085,0.15205964822677093,9.698497397302276
LOW5,0.01909853856852813,0.11372492784945429,7.25347539349456
LOW10,0.009371792648027254,0.0538657195738006,3.4356027202642516
LOW20,0.008661840882359113,0.049175871293920696,3.1364800939358948
LOW30,0.008945906375662423,0.05116064999468713,3.263071015906838
LOW60,0.004068844887175102,0.02454314887729088,1.5653835076155407
VOLUME5,0.009095330642030842,0.07924889863400687,5.054564087868726
VOLUME10,0.004457887052083027,0.0394639769926192,2.517046978691685
VOLUME20,0.0036031846684641184,0.03196186393389565,2.038555644384573
VOLUME30,0.005368499005547217,0.04771750354101187,3.043464122763829
VOLUME60,0.004896722045225252,0.04387840154199382,2.7986028385266914
VMA5,0.004498103003842303,0.03830950624673419,2.44341382449992
VMA10,0.006194550623501199,0.05063249145397087,3.2293846021065082
VMA20,0.0054160661921644785,0.043228483667666566,2.7571505079042837
VMA30,0.006006123922480564,0.0471755816759488,3.0088998720954514
VMA60,0.007490556562510244,0.05764117676986708,3.676404683287802
VSTD5,-0.00442390806920622,-0.0436011352932888,-2.7809185546105857
VSTD10,-0.0025570001708683106,-0.024529804957764554,-1.5645324207538711
VSTD20,-0.00291780862946861,-0.026746718463883143,-1.7059291036994397
VSTD30,-0.0008721130662748519,-0.007790489045638105,-0.49688420704587033
VSTD60,0.0018616685005950523,0.015623689747779387,0.996492600910934
VMEAN,-0.011789785846609667,-0.09231586559883828,-5.887986672866793
MEAN2,0.002760634945445823,0.01771807222518473,1.1300741476456653
MEAN2_5,0.020047623934539717,0.11711174856159032,7.469489781564135
MEAN2_10,0.009528281779995512,0.05420688103896687,3.4573622969866737
MEAN2_20,0.008595241197548079,0.048293813404048605,3.0802216700282146
MEAN2_30,0.008936772354884836,0.05071749794054876,3.2348063901906157
MEAN2_60,0.004196759967494377,0.025148390315161622,1.6039863360343916
AMOUNT5,0.010256442008341141,0.08714723254028968,5.558326734477439
AMOUNT10,0.004906067091722832,0.04196018220560867,2.676257131047204
AMOUNT20,0.004232132699068408,0.035733612849234396,2.2791210900190206
AMOUNT30,0.00628254973431288,0.05315995092990606,3.3905881786963223
AMOUNT60,0.005455505440364617,0.04643695594825082,2.961789676976651
